Q1,Q2,Q3,RESULT
6,2,5,"NEEDS IMPROVEMENT"
1,7,0,"NEEDS IMPROVEMENT"
8,8,3,GOOD
7,6,2,GOOD
1,2,10,"NEEDS IMPROVEMENT"
5,8,0,"NEEDS IMPROVEMENT"
10,8,5,GOOD
2,9,7,GOOD
3,5,8,GOOD
9,0,10,GOOD
8,10,2,GOOD
3,7,7,GOOD
0,8,4,"NEEDS IMPROVEMENT"
9,1,10,GOOD
7,7,7,GOOD
6,5,1,"NEEDS IMPROVEMENT"
2,10,8,GOOD
3,6,3,"NEEDS IMPROVEMENT"
2,6,5,"NEEDS IMPROVEMENT"
8,4,10,GOOD
7,1,8,GOOD
4,8,8,GOOD
3,2,0,"NEEDS IMPROVEMENT"
7,3,0,"NEEDS IMPROVEMENT"
0,1,6,"NEEDS IMPROVEMENT"
7,5,0,"NEEDS IMPROVEMENT"
10,0,2,"NEEDS IMPROVEMENT"
3,1,8,"NEEDS IMPROVEMENT"
10,6,1,GOOD
5,1,10,GOOD
4,3,3,"NEEDS IMPROVEMENT"
1,8,0,"NEEDS IMPROVEMENT"
3,5,10,GOOD
1,10,5,GOOD
10,3,9,GOOD
8,3,3,"NEEDS IMPROVEMENT"
7,3,4,"NEEDS IMPROVEMENT"
7,6,2,GOOD
4,9,1,"NEEDS IMPROVEMENT"
7,10,4,GOOD
9,10,9,GOOD
2,7,9,GOOD
10,9,2,GOOD
0,9,6,GOOD
2,4,0,"NEEDS IMPROVEMENT"
4,1,2,"NEEDS IMPROVEMENT"
9,1,6,GOOD
3,5,6,"NEEDS IMPROVEMENT"
4,7,3,"NEEDS IMPROVEMENT"
2,7,2,"NEEDS IMPROVEMENT"
7,2,1,"NEEDS IMPROVEMENT"
0,9,8,GOOD
4,2,0,"NEEDS IMPROVEMENT"
3,10,2,GOOD
9,7,7,GOOD
10,3,5,GOOD
9,9,5,GOOD
6,10,1,GOOD
5,3,2,"NEEDS IMPROVEMENT"
3,2,7,"NEEDS IMPROVEMENT"
7,6,9,GOOD
1,7,10,GOOD
3,10,0,"NEEDS IMPROVEMENT"
3,8,7,GOOD
0,0,7,"NEEDS IMPROVEMENT"
6,7,10,GOOD
0,2,1,"NEEDS IMPROVEMENT"
6,0,2,"NEEDS IMPROVEMENT"
2,0,9,"NEEDS IMPROVEMENT"
2,6,1,"NEEDS IMPROVEMENT"
5,4,7,GOOD
4,2,8,"NEEDS IMPROVEMENT"
8,10,7,GOOD
0,6,5,"NEEDS IMPROVEMENT"
8,8,3,GOOD
4,3,7,"NEEDS IMPROVEMENT"
1,5,2,"NEEDS IMPROVEMENT"
4,6,5,GOOD
10,2,0,"NEEDS IMPROVEMENT"
8,8,1,GOOD
8,3,5,GOOD
7,2,6,GOOD
1,8,6,GOOD
4,8,1,"NEEDS IMPROVEMENT"
6,0,0,"NEEDS IMPROVEMENT"
2,9,4,GOOD
8,7,5,GOOD
9,8,4,GOOD
4,10,10,GOOD
9,5,2,GOOD
7,6,2,GOOD
8,9,4,GOOD
10,6,9,GOOD
2,1,8,"NEEDS IMPROVEMENT"
9,1,7,GOOD
4,2,9,GOOD
5,8,9,GOOD
1,5,8,"NEEDS IMPROVEMENT"
9,6,2,GOOD
8,10,5,GOOD
1,8,6,GOOD
